annual_revenue,billing,billing.amount,billing.currency,billing.plan,created_at,domain,email,employee_count,id,industry,integrations,integrations.hubspot,integrations.salesforce,integrations.slack,metadata,metadata.account_manager,metadata.priority,metadata.region,metadata.support_level,metadata.tier,name,updated_at
198222485,"{""plan"": ""monthly"", ""amount"": 9106, ""currency"": ""USD""}",9106,USD,monthly,2023-09-16T00:00:00Z,cloudservices.example,contact171@cloudservices.example,425,1171,cloud_computing,"{""salesforce"": false, ""hubspot"": false, ""slack"": true}",False,False,True,"{""tier"": ""professional"", ""support_level"": ""premium"", ""account_manager"": ""Taylor Brown"", ""region"": ""east"", ""priority"": 3}",Taylor Brown,3,east,premium,professional,Cloud Services Provider #171,2024-04-01T00:00:00Z
153029678,,,,,2023-07-12T00:00:00Z,biotechresearch.example,contact172@biotechresearch.example,733,1172,biotechnology,"{""salesforce"": true, ""hubspot"": false, ""slack"": true}",False,True,True,"{""tier"": ""professional"", ""support_level"": ""premium"", ""account_manager"": ""David Kim"", ""region"": ""south"", ""priority"": 5}",David Kim,5,south,premium,professional,Biotech Research Lab #172,2023-11-08T00:00:00Z
119350483,,,,,2023-01-05T00:00:00Z,urbanplanning.example,contact173@urbanplanning.example,377,1173,consulting,,,,,"{""tier"": ""professional"", ""support_level"": ""basic"", ""account_manager"": ""Casey Miller"", ""region"": ""east"", ""priority"": 1}",Casey Miller,1,east,basic,professional,Urban Planning Consultants #173,2023-02-22T00:00:00Z
146863392,,,,,2023-03-15T00:00:00Z,renewableresources.example,contact174@renewableresources.example,90,1174,energy,,,,,"{""tier"": ""enterprise"", ""support_level"": ""premium"", ""account_manager"": ""Sarah Johnson"", ""region"": ""central"", ""priority"": 1}",Sarah Johnson,1,central,premium,enterprise,Renewable Resources Corp #174,2023-07-23T00:00:00Z
52289776,,,,,2024-03-12T00:00:00Z,mobileapp.example,contact175@mobileapp.example,858,1175,mobile,,,,,"{""tier"": ""starter"", ""support_level"": ""premium"", ""account_manager"": ""David Kim"", ""region"": ""east"", ""priority"": 2}",David Kim,2,east,premium,starter,Mobile App Development #175,2024-08-03T00:00:00Z
96200718,,,,,2024-03-03T00:00:00Z,dataanalytics.example,contact176@dataanalytics.example,796,1176,analytics,,,,,"{""tier"": ""enterprise"", ""support_level"": ""standard"", ""account_manager"": ""David Kim"", ""region"": ""west"", ""priority"": 1}",David Kim,1,west,standard,enterprise,Data Analytics Firm #176,2024-04-15T00:00:00Z
74325634,,,,,2023-02-18T00:00:00Z,cybersecurity.example,contact177@cybersecurity.example,636,1177,security,,,,,"{""tier"": ""starter"", ""support_level"": ""premium"", ""account_manager"": ""Morgan Davis"", ""region"": ""west"", ""priority"": 5}",Morgan Davis,5,west,premium,starter,Cybersecurity Solutions #177,2023-07-30T00:00:00Z
76730597,,,,,2023-01-07T00:00:00Z,ecommerce.example,contact178@ecommerce.example,936,1178,retail,,,,,"{""tier"": ""starter"", ""support_level"": ""premium"", ""account_manager"": ""David Kim"", ""region"": ""west"", ""priority"": 4}",David Kim,4,west,premium,starter,E-commerce Platform #178,2023-05-07T00:00:00Z
18012300,,,,,2023-10-25T00:00:00Z,airesearch.example,contact179@airesearch.example,477,1179,research,,,,,"{""tier"": ""starter"", ""support_level"": ""standard"", ""account_manager"": ""Alex Thompson"", ""region"": ""east"", ""priority"": 1}",Alex Thompson,1,east,standard,starter,AI Research Institute #179,2024-02-25T00:00:00Z
74688755,,,,,2023-07-25T00:00:00Z,techsolutions.example,contact180@techsolutions.example,440,1180,technology,"{""salesforce"": false, ""hubspot"": false, ""slack"": false}",False,False,False,"{""tier"": ""starter"", ""support_level"": ""basic"", ""account_manager"": ""David Kim"", ""region"": ""east"", ""priority"": 3}",David Kim,3,east,basic,starter,Tech Solutions Inc #180,2023-10-18T00:00:00Z
21033629,"{""plan"": ""annual"", ""amount"": 266, ""currency"": ""USD""}",266,USD,annual,2023-12-09T00:00:00Z,greenenergy.example,contact181@greenenergy.example,548,1181,renewable_energy,,,,,"{""tier"": ""professional"", ""support_level"": ""basic"", ""account_manager"": ""Casey Miller"", ""region"": ""west"", ""priority"": 4}",Casey Miller,4,west,basic,professional,Green Energy Co #181,2024-03-17T00:00:00Z
94583768,"{""plan"": ""monthly"", ""amount"": 3960, ""currency"": ""USD""}",3960,USD,monthly,2023-11-30T00:00:00Z,creativedesign.example,contact182@creativedesign.example,65,1182,design,,,,,"{""tier"": ""starter"", ""support_level"": ""standard"", ""account_manager"": ""Morgan Davis"", ""region"": ""south"", ""priority"": 1}",Morgan Davis,1,south,standard,starter,Creative Design Studio #182,2024-04-21T00:00:00Z
85575211,,,,,2023-11-06T00:00:00Z,globallogistics.example,contact183@globallogistics.example,830,1183,logistics,"{""salesforce"": true, ""hubspot"": false, ""slack"": true}",False,True,True,"{""tier"": ""enterprise"", ""support_level"": ""premium"", ""account_manager"": ""Casey Miller"", ""region"": ""west"", ""priority"": 2}",Casey Miller,2,west,premium,enterprise,Global Logistics LLC #183,2024-02-10T00:00:00Z
112693131,,,,,2024-01-17T00:00:00Z,healthwellness.example,contact184@healthwellness.example,320,1184,healthcare,,,,,"{""tier"": ""professional"", ""support_level"": ""premium"", ""account_manager"": ""Emily Rodriguez"", ""region"": ""east"", ""priority"": 1}",Emily Rodriguez,1,east,premium,professional,Health & Wellness Center #184,2024-04-30T00:00:00Z
148112175,,,,,2023-12-24T00:00:00Z,innovativesoftware.example,contact185@innovativesoftware.example,551,1185,software,,,,,"{""tier"": ""professional"", ""support_level"": ""standard"", ""account_manager"": ""David Kim"", ""region"": ""west"", ""priority"": 4}",David Kim,4,west,standard,professional,Innovative Software Labs #185,2024-04-03T00:00:00Z
170364199,,,,,2023-08-20T00:00:00Z,artisancoffee.example,contact186@artisancoffee.example,609,1186,food_beverage,"{""salesforce"": false, ""hubspot"": true, ""slack"": true}",True,False,True,"{""tier"": ""enterprise"", ""support_level"": ""premium"", ""account_manager"": ""David Kim"", ""region"": ""west"", ""priority"": 3}",David Kim,3,west,premium,enterprise,Artisan Coffee Roasters #186,2023-11-27T00:00:00Z
104937300,"{""plan"": ""monthly"", ""amount"": 8619, ""currency"": ""USD""}",8619,USD,monthly,2023-04-02T00:00:00Z,edupublishing.example,contact187@edupublishing.example,153,1187,education,,,,,"{""tier"": ""starter"", ""support_level"": ""standard"", ""account_manager"": ""Casey Miller"", ""region"": ""central"", ""priority"": 4}",Casey Miller,4,central,standard,starter,Educational Publishing House #187,2023-04-21T00:00:00Z
11628427,,,,,2023-08-13T00:00:00Z,sustainablefashion.example,contact188@sustainablefashion.example,19,1188,fashion,,,,,"{""tier"": ""starter"", ""support_level"": ""basic"", ""account_manager"": ""Michael Chen"", ""region"": ""north"", ""priority"": 4}",Michael Chen,4,north,basic,starter,Sustainable Fashion Brand #188,2023-10-23T00:00:00Z
193375003,,,,,2023-11-04T00:00:00Z,advancedmfg.example,contact189@advancedmfg.example,720,1189,manufacturing,"{""salesforce"": true, ""hubspot"": true, ""slack"": true}",True,True,True,"{""tier"": ""enterprise"", ""support_level"": ""standard"", ""account_manager"": ""Emily Rodriguez"", ""region"": ""central"", ""priority"": 3}",Emily Rodriguez,3,central,standard,enterprise,Advanced Manufacturing Corp #189,2024-02-21T00:00:00Z
49732115,,,,,2023-04-09T00:00:00Z,digitalmarketing.example,contact190@digitalmarketing.example,789,1190,marketing,,,,,"{""tier"": ""starter"", ""support_level"": ""basic"", ""account_manager"": ""David Kim"", ""region"": ""west"", ""priority"": 1}",David Kim,1,west,basic,starter,Digital Marketing Agency #190,2023-10-16T00:00:00Z
130504502,"{""plan"": ""annual"", ""amount"": 5738, ""currency"": ""USD""}",5738,USD,annual,2023-03-13T00:00:00Z,cloudservices.example,contact191@cloudservices.example,844,1191,cloud_computing,,,,,"{""tier"": ""enterprise"", ""support_level"": ""basic"", ""account_manager"": ""Alex Thompson"", ""region"": ""south"", ""priority"": 4}",Alex Thompson,4,south,basic,enterprise,Cloud Services Provider #191,2023-04-10T00:00:00Z
103077206,,,,,2023-10-06T00:00:00Z,biotechresearch.example,contact192@biotechresearch.example,596,1192,biotechnology,,,,,"{""tier"": ""starter"", ""support_level"": ""basic"", ""account_manager"": ""Casey Miller"", ""region"": ""west"", ""priority"": 1}",Casey Miller,1,west,basic,starter,Biotech Research Lab #192,2024-03-04T00:00:00Z
9710136,,,,,2023-01-02T00:00:00Z,urbanplanning.example,contact193@urbanplanning.example,647,1193,consulting,"{""salesforce"": true, ""hubspot"": false, ""slack"": true}",False,True,True,"{""tier"": ""starter"", ""support_level"": ""standard"", ""account_manager"": ""Alex Thompson"", ""region"": ""east"", ""priority"": 4}",Alex Thompson,4,east,standard,starter,Urban Planning Consultants #193,2023-06-27T00:00:00Z
74296943,,,,,2023-01-10T00:00:00Z,renewableresources.example,contact194@renewableresources.example,346,1194,energy,,,,,"{""tier"": ""professional"", ""support_level"": ""standard"", ""account_manager"": ""Taylor Brown"", ""region"": ""east"", ""priority"": 1}",Taylor Brown,1,east,standard,professional,Renewable Resources Corp #194,2023-04-04T00:00:00Z
66644198,"{""plan"": ""annual"", ""amount"": 4752, ""currency"": ""USD""}",4752,USD,annual,2023-12-20T00:00:00Z,mobileapp.example,contact195@mobileapp.example,701,1195,mobile,,,,,"{""tier"": ""starter"", ""support_level"": ""standard"", ""account_manager"": ""Emily Rodriguez"", ""region"": ""east"", ""priority"": 2}",Emily Rodriguez,2,east,standard,starter,Mobile App Development #195,2024-01-23T00:00:00Z
184018484,,,,,2024-01-24T00:00:00Z,dataanalytics.example,contact196@dataanalytics.example,528,1196,analytics,,,,,"{""tier"": ""enterprise"", ""support_level"": ""basic"", ""account_manager"": ""Sarah Johnson"", ""region"": ""south"", ""priority"": 5}",Sarah Johnson,5,south,basic,enterprise,Data Analytics Firm #196,2024-02-24T00:00:00Z
126961686,,,,,2023-02-15T00:00:00Z,cybersecurity.example,contact197@cybersecurity.example,794,1197,security,,,,,"{""tier"": ""enterprise"", ""support_level"": ""premium"", ""account_manager"": ""Casey Miller"", ""region"": ""south"", ""priority"": 2}",Casey Miller,2,south,premium,enterprise,Cybersecurity Solutions #197,2023-02-20T00:00:00Z
150990771,"{""plan"": ""monthly"", ""amount"": 972, ""currency"": ""USD""}",972,USD,monthly,2023-05-29T00:00:00Z,ecommerce.example,contact198@ecommerce.example,624,1198,retail,,,,,"{""tier"": ""professional"", ""support_level"": ""premium"", ""account_manager"": ""Jordan Lee"", ""region"": ""south"", ""priority"": 4}",Jordan Lee,4,south,premium,professional,E-commerce Platform #198,2023-12-07T00:00:00Z
137566791,,,,,2023-04-14T00:00:00Z,airesearch.example,contact199@airesearch.example,824,1199,research,,,,,"{""tier"": ""professional"", ""support_level"": ""standard"", ""account_manager"": ""Michael Chen"", ""region"": ""west"", ""priority"": 5}",Michael Chen,5,west,standard,professional,AI Research Institute #199,2023-05-03T00:00:00Z
112504226,"{""plan"": ""annual"", ""amount"": 5792, ""currency"": ""USD""}",5792,USD,annual,2023-08-05T00:00:00Z,techsolutions.example,contact200@techsolutions.example,680,1200,technology,,,,,"{""tier"": ""starter"", ""support_level"": ""premium"", ""account_manager"": ""Taylor Brown"", ""region"": ""west"", ""priority"": 3}",Taylor Brown,3,west,premium,starter,Tech Solutions Inc #200,2023-11-08T00:00:00Z
43267986,,,,,2023-08-01T00:00:00Z,greenenergy.example,contact201@greenenergy.example,142,1201,renewable_energy,,,,,"{""tier"": ""starter"", ""support_level"": ""premium"", ""account_manager"": ""Lisa Wang"", ""region"": ""north"", ""priority"": 2}",Lisa Wang,2,north,premium,starter,Green Energy Co #201,2023-08-26T00:00:00Z
21476652,,,,,2023-12-19T00:00:00Z,creativedesign.example,contact202@creativedesign.example,640,1202,design,,,,,"{""tier"": ""enterprise"", ""support_level"": ""premium"", ""account_manager"": ""Lisa Wang"", ""region"": ""north"", ""priority"": 1}",Lisa Wang,1,north,premium,enterprise,Creative Design Studio #202,2024-06-29T00:00:00Z
44807555,,,,,2023-01-15T00:00:00Z,globallogistics.example,contact203@globallogistics.example,696,1203,logistics,,,,,"{""tier"": ""enterprise"", ""support_level"": ""basic"", ""account_manager"": ""Lisa Wang"", ""region"": ""east"", ""priority"": 2}",Lisa Wang,2,east,basic,enterprise,Global Logistics LLC #203,2023-04-07T00:00:00Z
190621451,,,,,2023-11-14T00:00:00Z,healthwellness.example,contact204@healthwellness.example,671,1204,healthcare,,,,,"{""tier"": ""starter"", ""support_level"": ""premium"", ""account_manager"": ""David Kim"", ""region"": ""central"", ""priority"": 2}",David Kim,2,central,premium,starter,Health & Wellness Center #204,2023-11-16T00:00:00Z
147447190,,,,,2024-01-04T00:00:00Z,innovativesoftware.example,contact205@innovativesoftware.example,493,1205,software,,,,,"{""tier"": ""enterprise"", ""support_level"": ""premium"", ""account_manager"": ""Casey Miller"", ""region"": ""central"", ""priority"": 4}",Casey Miller,4,central,premium,enterprise,Innovative Software Labs #205,2024-05-06T00:00:00Z
100595712,,,,,2023-11-26T00:00:00Z,artisancoffee.example,contact206@artisancoffee.example,885,1206,food_beverage,,,,,"{""tier"": ""professional"", ""support_level"": ""basic"", ""account_manager"": ""Sarah Johnson"", ""region"": ""east"", ""priority"": 5}",Sarah Johnson,5,east,basic,professional,Artisan Coffee Roasters #206,2024-04-01T00:00:00Z
153048089,,,,,2023-06-07T00:00:00Z,edupublishing.example,contact207@edupublishing.example,348,1207,education,,,,,"{""tier"": ""starter"", ""support_level"": ""premium"", ""account_manager"": ""Michael Chen"", ""region"": ""central"", ""priority"": 1}",Michael Chen,1,central,premium,starter,Educational Publishing House #207,2023-11-01T00:00:00Z
119905807,"{""plan"": ""annual"", ""amount"": 888, ""currency"": ""USD""}",888,USD,annual,2023-03-13T00:00:00Z,sustainablefashion.example,contact208@sustainablefashion.example,607,1208,fashion,,,,,"{""tier"": ""professional"", ""support_level"": ""basic"", ""account_manager"": ""Lisa Wang"", ""region"": ""central"", ""priority"": 2}",Lisa Wang,2,central,basic,professional,Sustainable Fashion Brand #208,2023-06-14T00:00:00Z
101231009,,,,,2024-01-24T00:00:00Z,advancedmfg.example,contact209@advancedmfg.example,366,1209,manufacturing,,,,,"{""tier"": ""enterprise"", ""support_level"": ""standard"", ""account_manager"": ""Alex Thompson"", ""region"": ""central"", ""priority"": 5}",Alex Thompson,5,central,standard,enterprise,Advanced Manufacturing Corp #209,2024-05-09T00:00:00Z
107965157,,,,,2023-10-10T00:00:00Z,digitalmarketing.example,contact210@digitalmarketing.example,72,1210,marketing,,,,,"{""tier"": ""starter"", ""support_level"": ""standard"", ""account_manager"": ""Lisa Wang"", ""region"": ""south"", ""priority"": 1}",Lisa Wang,1,south,standard,starter,Digital Marketing Agency #210,2023-12-19T00:00:00Z
12717323,"{""plan"": ""monthly"", ""amount"": 8087, ""currency"": ""USD""}",8087,USD,monthly,2023-03-08T00:00:00Z,cloudservices.example,contact211@cloudservices.example,830,1211,cloud_computing,"{""salesforce"": false, ""hubspot"": true, ""slack"": true}",True,False,True,"{""tier"": ""professional"", ""support_level"": ""standard"", ""account_manager"": ""Taylor Brown"", ""region"": ""east"", ""priority"": 1}",Taylor Brown,1,east,standard,professional,Cloud Services Provider #211,2023-04-14T00:00:00Z
142363919,,,,,2023-12-02T00:00:00Z,biotechresearch.example,contact212@biotechresearch.example,394,1212,biotechnology,,,,,"{""tier"": ""professional"", ""support_level"": ""basic"", ""account_manager"": ""Morgan Davis"", ""region"": ""west"", ""priority"": 5}",Morgan Davis,5,west,basic,professional,Biotech Research Lab #212,2024-01-28T00:00:00Z
99279606,,,,,2023-06-01T00:00:00Z,urbanplanning.example,contact213@urbanplanning.example,978,1213,consulting,,,,,"{""tier"": ""enterprise"", ""support_level"": ""premium"", ""account_manager"": ""Morgan Davis"", ""region"": ""north"", ""priority"": 4}",Morgan Davis,4,north,premium,enterprise,Urban Planning Consultants #213,2023-07-06T00:00:00Z
47005524,,,,,2023-05-18T00:00:00Z,renewableresources.example,contact214@renewableresources.example,575,1214,energy,"{""salesforce"": true, ""hubspot"": true, ""slack"": false}",True,True,False,"{""tier"": ""professional"", ""support_level"": ""premium"", ""account_manager"": ""Jordan Lee"", ""region"": ""central"", ""priority"": 3}",Jordan Lee,3,central,premium,professional,Renewable Resources Corp #214,2023-09-17T00:00:00Z
178832409,,,,,2023-10-29T00:00:00Z,mobileapp.example,contact215@mobileapp.example,218,1215,mobile,"{""salesforce"": false, ""hubspot"": false, ""slack"": false}",False,False,False,"{""tier"": ""starter"", ""support_level"": ""standard"", ""account_manager"": ""Lisa Wang"", ""region"": ""north"", ""priority"": 1}",Lisa Wang,1,north,standard,starter,Mobile App Development #215,2024-03-28T00:00:00Z
28417533,,,,,2023-01-01T00:00:00Z,dataanalytics.example,contact216@dataanalytics.example,668,1216,analytics,,,,,"{""tier"": ""professional"", ""support_level"": ""basic"", ""account_manager"": ""Michael Chen"", ""region"": ""east"", ""priority"": 4}",Michael Chen,4,east,basic,professional,Data Analytics Firm #216,2023-02-16T00:00:00Z
68029114,"{""plan"": ""monthly"", ""amount"": 6328, ""currency"": ""USD""}",6328,USD,monthly,2023-04-25T00:00:00Z,cybersecurity.example,contact217@cybersecurity.example,153,1217,security,,,,,"{""tier"": ""professional"", ""support_level"": ""standard"", ""account_manager"": ""Emily Rodriguez"", ""region"": ""west"", ""priority"": 5}",Emily Rodriguez,5,west,standard,professional,Cybersecurity Solutions #217,2023-06-13T00:00:00Z
196316658,,,,,2024-04-25T00:00:00Z,ecommerce.example,contact218@ecommerce.example,83,1218,retail,,,,,"{""tier"": ""professional"", ""support_level"": ""premium"", ""account_manager"": ""Taylor Brown"", ""region"": ""central"", ""priority"": 4}",Taylor Brown,4,central,premium,professional,E-commerce Platform #218,2024-11-04T00:00:00Z
7494481,,,,,2023-10-14T00:00:00Z,airesearch.example,contact219@airesearch.example,846,1219,research,,,,,"{""tier"": ""starter"", ""support_level"": ""standard"", ""account_manager"": ""Taylor Brown"", ""region"": ""central"", ""priority"": 1}",Taylor Brown,1,central,standard,starter,AI Research Institute #219,2024-03-28T00:00:00Z
81707364,"{""plan"": ""annual"", ""amount"": 7672, ""currency"": ""USD""}",7672,USD,annual,2023-01-10T00:00:00Z,techsolutions.example,contact220@techsolutions.example,754,1220,technology,,,,,"{""tier"": ""enterprise"", ""support_level"": ""premium"", ""account_manager"": ""Michael Chen"", ""region"": ""south"", ""priority"": 2}",Michael Chen,2,south,premium,enterprise,Tech Solutions Inc #220,2023-03-24T00:00:00Z
132776411,"{""plan"": ""monthly"", ""amount"": 1332, ""currency"": ""USD""}",1332,USD,monthly,2024-02-04T00:00:00Z,greenenergy.example,contact221@greenenergy.example,566,1221,renewable_energy,,,,,"{""tier"": ""professional"", ""support_level"": ""premium"", ""account_manager"": ""Michael Chen"", ""region"": ""south"", ""priority"": 3}",Michael Chen,3,south,premium,professional,Green Energy Co #221,2024-08-14T00:00:00Z
51616007,,,,,2023-07-28T00:00:00Z,creativedesign.example,contact222@creativedesign.example,803,1222,design,,,,,"{""tier"": ""professional"", ""support_level"": ""premium"", ""account_manager"": ""Taylor Brown"", ""region"": ""north"", ""priority"": 5}",Taylor Brown,5,north,premium,professional,Creative Design Studio #222,2023-09-18T00:00:00Z
97878350,,,,,2023-03-31T00:00:00Z,globallogistics.example,contact223@globallogistics.example,360,1223,logistics,,,,,"{""tier"": ""enterprise"", ""support_level"": ""premium"", ""account_manager"": ""Alex Thompson"", ""region"": ""east"", ""priority"": 1}",Alex Thompson,1,east,premium,enterprise,Global Logistics LLC #223,2023-06-13T00:00:00Z
64931278,,,,,2024-02-12T00:00:00Z,healthwellness.example,contact224@healthwellness.example,677,1224,healthcare,,,,,"{""tier"": ""enterprise"", ""support_level"": ""standard"", ""account_manager"": ""Emily Rodriguez"", ""region"": ""east"", ""priority"": 5}",Emily Rodriguez,5,east,standard,enterprise,Health & Wellness Center #224,2024-07-29T00:00:00Z
47109937,,,,,2024-02-20T00:00:00Z,innovativesoftware.example,contact225@innovativesoftware.example,973,1225,software,,,,,"{""tier"": ""professional"", ""support_level"": ""premium"", ""account_manager"": ""Lisa Wang"", ""region"": ""south"", ""priority"": 4}",Lisa Wang,4,south,premium,professional,Innovative Software Labs #225,2024-04-01T00:00:00Z
43819619,"{""plan"": ""annual"", ""amount"": 1130, ""currency"": ""USD""}",1130,USD,annual,2023-06-04T00:00:00Z,artisancoffee.example,contact226@artisancoffee.example,869,1226,food_beverage,,,,,"{""tier"": ""professional"", ""support_level"": ""standard"", ""account_manager"": ""Taylor Brown"", ""region"": ""central"", ""priority"": 2}",Taylor Brown,2,central,standard,professional,Artisan Coffee Roasters #226,2023-10-07T00:00:00Z
25939695,"{""plan"": ""monthly"", ""amount"": 322, ""currency"": ""USD""}",322,USD,monthly,2023-09-17T00:00:00Z,edupublishing.example,contact227@edupublishing.example,670,1227,education,,,,,"{""tier"": ""starter"", ""support_level"": ""premium"", ""account_manager"": ""Casey Miller"", ""region"": ""south"", ""priority"": 3}",Casey Miller,3,south,premium,starter,Educational Publishing House #227,2023-12-27T00:00:00Z
158193785,"{""plan"": ""annual"", ""amount"": 4482, ""currency"": ""USD""}",4482,USD,annual,2023-11-28T00:00:00Z,sustainablefashion.example,contact228@sustainablefashion.example,667,1228,fashion,,,,,"{""tier"": ""starter"", ""support_level"": ""basic"", ""account_manager"": ""Alex Thompson"", ""region"": ""south"", ""priority"": 4}",Alex Thompson,4,south,basic,starter,Sustainable Fashion Brand #228,2024-03-13T00:00:00Z
196834180,,,,,2024-02-17T00:00:00Z,advancedmfg.example,contact229@advancedmfg.example,271,1229,manufacturing,,,,,"{""tier"": ""starter"", ""support_level"": ""standard"", ""account_manager"": ""Taylor Brown"", ""region"": ""central"", ""priority"": 3}",Taylor Brown,3,central,standard,starter,Advanced Manufacturing Corp #229,2024-07-08T00:00:00Z
198662966,,,,,2023-10-31T00:00:00Z,digitalmarketing.example,contact230@digitalmarketing.example,532,1230,marketing,,,,,"{""tier"": ""starter"", ""support_level"": ""standard"", ""account_manager"": ""Morgan Davis"", ""region"": ""north"", ""priority"": 4}",Morgan Davis,4,north,standard,starter,Digital Marketing Agency #230,2023-12-04T00:00:00Z
144501736,,,,,2024-04-15T00:00:00Z,cloudservices.example,contact231@cloudservices.example,56,1231,cloud_computing,,,,,"{""tier"": ""enterprise"", ""support_level"": ""basic"", ""account_manager"": ""Taylor Brown"", ""region"": ""north"", ""priority"": 5}",Taylor Brown,5,north,basic,enterprise,Cloud Services Provider #231,2024-07-30T00:00:00Z
164530506,,,,,2023-11-01T00:00:00Z,biotechresearch.example,contact232@biotechresearch.example,425,1232,biotechnology,,,,,"{""tier"": ""enterprise"", ""support_level"": ""basic"", ""account_manager"": ""Jordan Lee"", ""region"": ""west"", ""priority"": 2}",Jordan Lee,2,west,basic,enterprise,Biotech Research Lab #232,2024-05-07T00:00:00Z
48134605,,,,,2023-07-12T00:00:00Z,urbanplanning.example,contact233@urbanplanning.example,107,1233,consulting,,,,,"{""tier"": ""starter"", ""support_level"": ""basic"", ""account_manager"": ""Emily Rodriguez"", ""region"": ""east"", ""priority"": 2}",Emily Rodriguez,2,east,basic,starter,Urban Planning Consultants #233,2023-10-29T00:00:00Z
160990429,,,,,2023-04-13T00:00:00Z,renewableresources.example,contact234@renewableresources.example,531,1234,energy,,,,,"{""tier"": ""professional"", ""support_level"": ""standard"", ""account_manager"": ""Emily Rodriguez"", ""region"": ""central"", ""priority"": 2}",Emily Rodriguez,2,central,standard,professional,Renewable Resources Corp #234,2023-06-28T00:00:00Z
88884279,,,,,2023-12-21T00:00:00Z,mobileapp.example,contact235@mobileapp.example,35,1235,mobile,"{""salesforce"": false, ""hubspot"": false, ""slack"": true}",False,False,True,"{""tier"": ""enterprise"", ""support_level"": ""premium"", ""account_manager"": ""Sarah Johnson"", ""region"": ""west"", ""priority"": 3}",Sarah Johnson,3,west,premium,enterprise,Mobile App Development #235,2024-02-22T00:00:00Z
143740843,"{""plan"": ""monthly"", ""amount"": 1098, ""currency"": ""USD""}",1098,USD,monthly,2023-07-11T00:00:00Z,dataanalytics.example,contact236@dataanalytics.example,999,1236,analytics,"{""salesforce"": true, ""hubspot"": false, ""slack"": false}",False,True,False,"{""tier"": ""professional"", ""support_level"": ""basic"", ""account_manager"": ""Jordan Lee"", ""region"": ""central"", ""priority"": 3}",Jordan Lee,3,central,basic,professional,Data Analytics Firm #236,2023-11-28T00:00:00Z
38901428,,,,,2023-09-18T00:00:00Z,cybersecurity.example,contact237@cybersecurity.example,214,1237,security,"{""salesforce"": true, ""hubspot"": false, ""slack"": true}",False,True,True,"{""tier"": ""starter"", ""support_level"": ""basic"", ""account_manager"": ""Michael Chen"", ""region"": ""central"", ""priority"": 5}",Michael Chen,5,central,basic,starter,Cybersecurity Solutions #237,2024-02-02T00:00:00Z
5132455,,,,,2023-04-10T00:00:00Z,ecommerce.example,contact238@ecommerce.example,140,1238,retail,,,,,"{""tier"": ""professional"", ""support_level"": ""basic"", ""account_manager"": ""Morgan Davis"", ""region"": ""west"", ""priority"": 1}",Morgan Davis,1,west,basic,professional,E-commerce Platform #238,2023-07-31T00:00:00Z
110021834,"{""plan"": ""monthly"", ""amount"": 9338, ""currency"": ""USD""}",9338,USD,monthly,2023-07-01T00:00:00Z,airesearch.example,contact239@airesearch.example,954,1239,research,,,,,"{""tier"": ""enterprise"", ""support_level"": ""basic"", ""account_manager"": ""Casey Miller"", ""region"": ""south"", ""priority"": 2}",Casey Miller,2,south,basic,enterprise,AI Research Institute #239,2023-11-29T00:00:00Z
78863031,"{""plan"": ""annual"", ""amount"": 5526, ""currency"": ""USD""}",5526,USD,annual,2023-02-01T00:00:00Z,techsolutions.example,contact240@techsolutions.example,353,1240,technology,,,,,"{""tier"": ""enterprise"", ""support_level"": ""basic"", ""account_manager"": ""Jordan Lee"", ""region"": ""east"", ""priority"": 1}",Jordan Lee,1,east,basic,enterprise,Tech Solutions Inc #240,2023-05-12T00:00:00Z
112296881,"{""plan"": ""annual"", ""amount"": 9171, ""currency"": ""USD""}",9171,USD,annual,2024-03-14T00:00:00Z,greenenergy.example,contact241@greenenergy.example,272,1241,renewable_energy,,,,,"{""tier"": ""starter"", ""support_level"": ""premium"", ""account_manager"": ""Taylor Brown"", ""region"": ""south"", ""priority"": 3}",Taylor Brown,3,south,premium,starter,Green Energy Co #241,2024-06-10T00:00:00Z
29288334,,,,,2023-04-19T00:00:00Z,creativedesign.example,contact242@creativedesign.example,650,1242,design,,,,,"{""tier"": ""professional"", ""support_level"": ""premium"", ""account_manager"": ""Emily Rodriguez"", ""region"": ""north"", ""priority"": 3}",Emily Rodriguez,3,north,premium,professional,Creative Design Studio #242,2023-06-02T00:00:00Z
23503414,,,,,2023-11-17T00:00:00Z,globallogistics.example,contact243@globallogistics.example,489,1243,logistics,,,,,"{""tier"": ""starter"", ""support_level"": ""premium"", ""account_manager"": ""Taylor Brown"", ""region"": ""central"", ""priority"": 2}",Taylor Brown,2,central,premium,starter,Global Logistics LLC #243,2024-05-03T00:00:00Z
16178613,"{""plan"": ""annual"", ""amount"": 8434, ""currency"": ""USD""}",8434,USD,annual,2024-03-02T00:00:00Z,healthwellness.example,contact244@healthwellness.example,358,1244,healthcare,,,,,"{""tier"": ""starter"", ""support_level"": ""basic"", ""account_manager"": ""Casey Miller"", ""region"": ""east"", ""priority"": 5}",Casey Miller,5,east,basic,starter,Health & Wellness Center #244,2024-06-07T00:00:00Z
139012242,,,,,2023-07-19T00:00:00Z,innovativesoftware.example,contact245@innovativesoftware.example,293,1245,software,,,,,"{""tier"": ""enterprise"", ""support_level"": ""standard"", ""account_manager"": ""David Kim"", ""region"": ""east"", ""priority"": 3}",David Kim,3,east,standard,enterprise,Innovative Software Labs #245,2023-11-05T00:00:00Z
